cuadro,titulo,fila,departamento,columna,valor,unidad
Cuadro 1,"Cuadro 1. Niños, niñas y adolescentes por etapa de desarrollo y sexo. Cantidad de familias atendidas",Mujeres,Total país,Primera Infancia,34938.0,cantidad
Cuadro 1,"Cuadro 1. Niños, niñas y adolescentes por etapa de desarrollo y sexo. Cantidad de familias atendidas",Mujeres,Total país,Infancia,10007.0,cantidad
Cuadro 1,"Cuadro 1. Niños, niñas y adolescentes por etapa de desarrollo y sexo. Cantidad de familias atendidas",Mujeres,Total país,Adolescencia,7331.0,cantidad
Cuadro 1,"Cuadro 1. Niños, niñas y adolescentes por etapa de desarrollo y sexo. Cantidad de familias atendidas",Mujeres,Total país,Juventud,845.0,cantidad
Cuadro 1,"Cuadro 1. Niños, niñas y adolescentes por etapa de desarrollo y sexo. Cantidad de familias atendidas",Mujeres,Total país,Juventud y Adultez,207.0,cantidad
Cuadro 1,"Cuadro 1. Niños, niñas y adolescentes por etapa de desarrollo y sexo. Cantidad de familias atendidas",Mujeres,Total país,Total,53328.0,cantidad
Cuadro 1,"Cuadro 1. Niños, niñas y adolescentes por etapa de desarrollo y sexo. Cantidad de familias atendidas",Varones,Total país,Primera Infancia,34642.0,cantidad
Cuadro 1,"Cuadro 1. Niños, niñas y adolescentes por etapa de desarrollo y sexo. Cantidad de familias atendidas",Varones,Total país,Infancia,10489.0,cantidad
Cuadro 1,"Cuadro 1. Niños, niñas y adolescentes por etapa de desarrollo y sexo. Cantidad de familias atendidas",Varones,Total país,Adolescencia,7321.0,cantidad
Cuadro 1,"Cuadro 1. Niños, niñas y adolescentes por etapa de desarrollo y sexo. Cantidad de familias atendidas",Varones,Total país,Juventud,793.0,cantidad
Cuadro 1,"Cuadro 1. Niños, niñas y adolescentes por etapa de desarrollo y sexo. Cantidad de familias atendidas",Varones,Total país,Juventud y Adultez,284.0,cantidad
Cuadro 1,"Cuadro 1. Niños, niñas y adolescentes por etapa de desarrollo y sexo. Cantidad de familias atendidas",Varones,Total país,Total,53529.0,cantidad
Cuadro 1,"Cuadro 1. Niños, niñas y adolescentes por etapa de desarrollo y sexo. Cantidad de familias atendidas",Total Población,Total país,Primera Infancia,69580.0,cantidad
Cuadro 1,"Cuadro 1. Niños, niñas y adolescentes por etapa de desarrollo y sexo. Cantidad de familias atendidas",Total Población,Total país,Infancia,20496.0,cantidad
Cuadro 1,"Cuadro 1. Niños, niñas y adolescentes por etapa de desarrollo y sexo. Cantidad de familias atendidas",Total Población,Total país,Adolescencia,14652.0,cantidad
Cuadro 1,"Cuadro 1. Niños, niñas y adolescentes por etapa de desarrollo y sexo. Cantidad de familias atendidas",Total Población,Total país,Juventud,1638.0,cantidad
Cuadro 1,"Cuadro 1. Niños, niñas y adolescentes por etapa de desarrollo y sexo. Cantidad de familias atendidas",Total Población,Total país,Juventud y Adultez,491.0,cantidad
Cuadro 1,"Cuadro 1. Niños, niñas y adolescentes por etapa de desarrollo y sexo. Cantidad de familias atendidas",Total Población,Total país,Total,106857.0,cantidad
Cuadro 1,"Cuadro 1. Niños, niñas y adolescentes por etapa de desarrollo y sexo. Cantidad de familias atendidas",Total Familias,Total país,Total,52900.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",Centros de Primera Infancia,Total país,Primera Infancia|Mujeres,33699.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",Centros de Primera Infancia,Total país,Primera Infancia|Varones,33289.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",Centros de Primera Infancia,Total país,Infancia|Mujeres,208.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",Centros de Primera Infancia,Total país,Infancia|Varones,156.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",Centros de Primera Infancia,Total país,Adolescencia|Mujeres,2.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",Centros de Primera Infancia,Total país,Adolescencia|Varones,2.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",Centros de Primera Infancia,Total país,Juventud|Mujeres,1.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",Centros de Primera Infancia,Total país,Juventud|Varones,0.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",Centros de Primera Infancia,Total país,Juventud y Adultez|Mujeres,1.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",Centros de Primera Infancia,Total país,Juventud y Adultez|Varones,4.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",Centros de Primera Infancia,Total país,Total|Mujereses,33911.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",Centros de Primera Infancia,Total país,Total|Varones,33451.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",Centros de Primera Infancia,Total país,Total,67362.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",CAIF,Total país,Primera Infancia|Mujeres,31750.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",CAIF,Total país,Primera Infancia|Varones,31500.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",CAIF,Total país,Infancia|Mujeres,15.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",CAIF,Total país,Infancia|Varones,6.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",CAIF,Total país,Adolescencia|Mujeres,0.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",CAIF,Total país,Adolescencia|Varones,0.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",CAIF,Total país,Juventud|Mujeres,1.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",CAIF,Total país,Juventud|Varones,0.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",CAIF,Total país,Juventud y Adultez|Mujeres,1.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",CAIF,Total país,Juventud y Adultez|Varones,4.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",CAIF,Total país,Total|Mujereses,31767.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",CAIF,Total país,Total|Varones,31510.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",CAIF,Total país,Total,63277.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",CAPI,Total país,Primera Infancia|Mujeres,643.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",CAPI,Total país,Primera Infancia|Varones,593.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",CAPI,Total país,Infancia|Mujeres,13.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",CAPI,Total país,Infancia|Varones,8.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",CAPI,Total país,Adolescencia|Mujeres,0.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",CAPI,Total país,Adolescencia|Varones,0.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",CAPI,Total país,Juventud|Mujeres,0.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",CAPI,Total país,Juventud|Varones,0.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",CAPI,Total país,Juventud y Adultez|Mujeres,0.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",CAPI,Total país,Juventud y Adultez|Varones,0.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",CAPI,Total país,Total|Mujereses,656.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",CAPI,Total país,Total|Varones,601.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",CAPI,Total país,Total,1257.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",CCEI (Nuestros Niños),Total país,Primera Infancia|Mujeres,694.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",CCEI (Nuestros Niños),Total país,Primera Infancia|Varones,639.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",CCEI (Nuestros Niños),Total país,Infancia|Mujeres,0.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",CCEI (Nuestros Niños),Total país,Infancia|Varones,0.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",CCEI (Nuestros Niños),Total país,Adolescencia|Mujeres,0.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",CCEI (Nuestros Niños),Total país,Adolescencia|Varones,0.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",CCEI (Nuestros Niños),Total país,Juventud|Mujeres,0.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",CCEI (Nuestros Niños),Total país,Juventud|Varones,0.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",CCEI (Nuestros Niños),Total país,Juventud y Adultez|Mujeres,0.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",CCEI (Nuestros Niños),Total país,Juventud y Adultez|Varones,0.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",CCEI (Nuestros Niños),Total país,Total|Mujereses,694.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",CCEI (Nuestros Niños),Total país,Total|Varones,639.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",CCEI (Nuestros Niños),Total país,Total,1333.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",Espacio de Cuidado y Educación / Liceos,Total país,Primera Infancia|Mujeres,48.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",Espacio de Cuidado y Educación / Liceos,Total país,Primera Infancia|Varones,45.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",Espacio de Cuidado y Educación / Liceos,Total país,Infancia|Mujeres,38.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",Espacio de Cuidado y Educación / Liceos,Total país,Infancia|Varones,32.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",Espacio de Cuidado y Educación / Liceos,Total país,Adolescencia|Mujeres,1.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",Espacio de Cuidado y Educación / Liceos,Total país,Adolescencia|Varones,0.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",Espacio de Cuidado y Educación / Liceos,Total país,Juventud|Mujeres,0.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",Espacio de Cuidado y Educación / Liceos,Total país,Juventud|Varones,0.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",Espacio de Cuidado y Educación / Liceos,Total país,Juventud y Adultez|Mujeres,0.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",Espacio de Cuidado y Educación / Liceos,Total país,Juventud y Adultez|Varones,0.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",Espacio de Cuidado y Educación / Liceos,Total país,Total|Mujereses,87.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",Espacio de Cuidado y Educación / Liceos,Total país,Total|Varones,77.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",Espacio de Cuidado y Educación / Liceos,Total país,Total,164.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",Casas Comunitarias,Total país,Primera Infancia|Mujeres,104.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",Casas Comunitarias,Total país,Primera Infancia|Varones,80.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",Casas Comunitarias,Total país,Infancia|Mujeres,5.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",Casas Comunitarias,Total país,Infancia|Varones,1.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",Casas Comunitarias,Total país,Adolescencia|Mujeres,0.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",Casas Comunitarias,Total país,Adolescencia|Varones,0.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",Casas Comunitarias,Total país,Juventud|Mujeres,0.0,cantidad
Cuadro 2,"Cuadro 2. Vinculaciones por etapa de desarrollo y sexo, según propuesta de atención",Casas Comunitarias,Total país,Juventud|Varones,0.0,cantidad
